,movieId,title,genres
0,1,Toy Story ,Adventure|Animation|Children|Comedy|Fantasy
1,2,Jumanji ,Adventure|Children|Fantasy
2,3,Grumpier Old Men ,Comedy|Romance
3,4,Waiting to Exhale ,Comedy|Drama|Romance
4,5,Father of the Bride Part II ,Comedy
5,6,Heat ,Action|Crime|Thriller
6,7,Sabrina ,Comedy|Romance
7,8,Tom and Huck ,Adventure|Children
8,9,Sudden Death ,Action
9,10,GoldenEye ,Action|Adventure|Thriller
10,11,"American President, The ",Comedy|Drama|Romance
11,12,Dracula: Dead and Loving It ,Comedy|Horror
12,13,Balto ,Adventure|Animation|Children
13,14,Nixon ,Drama
14,15,Cutthroat Island ,Action|Adventure|Romance
15,16,Casino ,Crime|Drama
16,17,Sense and Sensibility ,Drama|Romance
17,18,Four Rooms ,Comedy
18,19,Ace Ventura: When Nature Calls ,Comedy
19,20,Money Train ,Action|Comedy|Crime|Drama|Thriller
20,21,Get Shorty ,Comedy|Crime|Thriller
21,22,Copycat ,Crime|Drama|Horror|Mystery|Thriller
22,23,Assassins ,Action|Crime|Thriller
23,24,Powder ,Drama|Sci-Fi
24,25,Leaving Las Vegas ,Drama|Romance
25,26,Othello ,Drama
26,27,Now and Then ,Children|Drama
27,28,Persuasion ,Drama|Romance
28,29,"City of Lost Children, The (Cité des enfants perdus, La) ",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,Crime|Drama
30,31,Dangerous Minds ,Drama
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) ,Mystery|Sci-Fi|Thriller
32,33,Wings of Courage ,Adventure|Romance|IMAX
33,34,Babe ,Children|Drama
34,35,Carrington ,Drama|Romance
35,36,Dead Man Walking ,Crime|Drama
36,37,Across the Sea of Time ,Documentary|IMAX
37,38,It Takes Two ,Children|Comedy
38,39,Clueless ,Comedy|Romance
39,40,"Cry, the Beloved Country ",Drama
40,41,Richard III ,Drama|War
41,42,Dead Presidents ,Action|Crime|Drama
42,43,Restoration ,Drama
43,44,Mortal Kombat ,Action|Adventure|Fantasy
44,45,To Die For ,Comedy|Drama|Thriller
45,46,How to Make an American Quilt ,Drama|Romance
46,47,Seven (a.k.a. Se7en) ,Mystery|Thriller
47,48,Pocahontas ,Animation|Children|Drama|Musical|Romance
48,49,When Night Is Falling ,Drama|Romance
49,50,"Usual Suspects, The ",Crime|Mystery|Thriller
50,51,Guardian Angel ,Action|Drama|Thriller
51,52,Mighty Aphrodite ,Comedy|Drama|Romance
52,53,Lamerica ,Adventure|Drama
53,54,"Big Green, The ",Children|Comedy
54,55,Georgia ,Drama
55,56,Kids of the Round Table ,Adventure|Children|Fantasy
56,57,Home for the Holidays ,Drama
57,58,"Postman, The (Postino, Il) ",Comedy|Drama|Romance
58,59,"Confessional, The (Confessionnal, Le) ",Drama|Mystery
59,60,"Indian in the Cupboard, The ",Adventure|Children|Fantasy
60,61,Eye for an Eye ,Drama|Thriller
61,62,Mr. Holland's Opus ,Drama
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Comedy|Crime
63,64,Two if by Sea ,Comedy|Romance
64,65,Bio-Dome ,Comedy
65,66,Lawnmower Man 2: Beyond Cyberspace ,Action|Sci-Fi|Thriller
66,67,Two Bits ,Drama
67,68,French Twist (Gazon maudit) ,Comedy|Romance
68,69,Friday ,Comedy
69,70,From Dusk Till Dawn ,Action|Comedy|Horror|Thriller
70,71,Fair Game ,Action
71,72,Kicking and Screaming ,Comedy|Drama
72,73,"Misérables, Les ",Drama|War
73,74,Bed of Roses ,Drama|Romance
74,75,Big Bully ,Comedy|Drama
75,76,Screamers ,Action|Sci-Fi|Thriller
76,77,Nico Icon ,Documentary
77,78,"Crossing Guard, The ",Action|Crime|Drama|Thriller
78,79,"Juror, The ",Drama|Thriller
79,80,"White Balloon, The (Badkonake sefid) ",Children|Drama
80,81,Things to Do in Denver When You're Dead ,Crime|Drama|Romance
81,82,Antonia's Line (Antonia) ,Comedy|Drama
82,83,Once Upon a Time... When We Were Colored ,Drama|Romance
83,84,Last Summer in the Hamptons ,Comedy|Drama
84,85,Angels and Insects ,Drama|Romance
85,86,White Squall ,Action|Adventure|Drama
86,87,Dunston Checks In ,Children|Comedy
87,88,Black Sheep ,Comedy
88,89,Nick of Time ,Action|Thriller
89,90,"Journey of August King, The ",Drama
90,92,Mary Reilly ,Drama|Horror|Thriller
91,93,Vampire in Brooklyn ,Comedy|Horror|Romance
92,94,Beautiful Girls ,Comedy|Drama|Romance
93,95,Broken Arrow ,Action|Adventure|Thriller
94,96,In the Bleak Midwinter ,Comedy|Drama
95,97,"Hate (Haine, La) ",Crime|Drama
96,98,Shopping ,Action|Thriller
97,99,Heidi Fleiss: Hollywood Madam ,Documentary
