,movieId,title,genres,tmdbId,num_ratings,avg_rating
0,6483,From Justin to Kelly ,"Musical,Romance",31246.0,426,0.9730046948356808
1,4775,Glitter ,"Drama,Musical,Romance",10696.0,685,1.1240875912408759
2,1826,Barney's Great Adventure ,"Adventure,Children",17644.0,419,1.1634844868735084
3,6587,Gigli ,"Comedy,Crime,Romance",8046.0,701,1.1640513552068474
4,6371,Pokémon Heroes ,"Animation,Children",33875.0,325,1.1676923076923076
5,61348,Disaster Movie ,Comedy,13805.0,397,1.251889168765743
6,31698,Son of the Mask ,"Adventure,Children,Comedy,Fantasy",10214.0,467,1.2526766595289078
7,5672,Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie) ,"Adventure,Animation,Children,Fantasy",12600.0,472,1.3167372881355932
8,6872,"House of the Dead, The ","Action,Horror",11059.0,447,1.3568232662192394
9,1495,Turbo: A Power Rangers Movie ,"Action,Adventure,Children",6499.0,715,1.3902097902097903
10,50798,Epic Movie ,"Adventure,Comedy",9760.0,899,1.4888765294771968
11,4125,Leonard Part 6 ,"Comedy,Sci-Fi",24828.0,455,1.5384615384615385
12,5648,Ernest in the Army ,Comedy,39128.0,255,1.5450980392156863
13,1739,3 Ninjas: High Noon On Mega Mountain ,"Action,Children,Comedy",32302.0,623,1.5457463884430176
14,3962,Ghoulies II ,"Comedy,Horror",28605.0,273,1.5695970695970696
15,4241,Pokémon 3: The Movie ,"Animation,Children",10991.0,571,1.5726795096322241
16,5918,Alone in the Dark ,Horror,40952.0,524,1.5782442748091603
18,3042,Meatballs III ,Comedy,40772.0,395,1.5784810126582278
19,2818,Iron Eagle IV ,"Action,War",28737.0,459,1.5925925925925926
20,1323,Amityville 3-D ,Horror,27214.0,424,1.5978773584905661
21,3593,Battlefield Earth ,"Action,Sci-Fi",5491.0,3973,1.6005537377296752
22,2386,Jerry Springer: Ringmaster ,"Comedy,Drama",37536.0,591,1.619289340101523
23,57532,Meet the Spartans ,Comedy,7278.0,615,1.6276422764227643
24,6827,It's Pat ,Comedy,33783.0,339,1.6283185840707965
25,3572,Carnosaur ,"Horror,Sci-Fi",39283.0,368,1.6494565217391304
26,2449,"Garbage Pail Kids Movie, The ","Adventure,Children,Comedy",14443.0,308,1.6590909090909092
27,43919,Date Movie ,"Comedy,Romance",10073.0,769,1.6671001300390118
28,1599,Steel ,Action,8854.0,520,1.6692307692307693
30,42721,BloodRayne ,"Action,Fantasy",168705.0,388,1.6739690721649485
31,2817,Aces: Iron Eagle III ,Action,2038.0,726,1.677685950413223
32,1325,Amityville: A New Generation ,Horror,33519.0,272,1.6948529411764706
33,2555,Baby Geniuses ,Comedy,22345.0,1399,1.7030021443888492
34,1322,Amityville 1992: It's About Time ,Horror,41671.0,283,1.704946996466431
35,1595,Free Willy 3: The Rescue ,"Adventure,Children,Drama",18519.0,941,1.706163655685441
36,2655,Howling II: Your Sister Is a Werewolf ,Horror,29794.0,287,1.7142857142857142
37,2516,Children of the Corn III ,Horror,25749.0,398,1.7173366834170853
38,2462,Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) ,Horror,16780.0,554,1.7193140794223827
39,8387,Police Academy: Mission to Moscow ,"Comedy,Crime",11546.0,927,1.7481121898597627
